id	effectiveTime	active	moduleId	conceptId	languageCode	typeId	term	caseSignificanceId
247000071	20250701	1	900000000000207008	24700007	en	900000000000003001	Multiple sclerosis (disorder)	900000000000448009
247000072	20250701	1	900000000000207008	24700007	en	900000000000013009	Multiple sclerosis	900000000000448009
667600081	20250701	1	900000000000207008	66760008	en	900000000000003001	Optic neuritis (disorder)	900000000000448009
667600082	20250701	1	900000000000207008	66760008	en	900000000000013009	Optic neuritis	900000000000448009
3186040011	20250701	1	900000000000207008	318604001	en	900000000000003001	Product containing precisely bisoprolol fumarate 1.25 milligram/1 each conventional release oral tablet (clinical drug)	900000000000448009
3186040012	20250701	1	900000000000207008	318604001	en	900000000000013009	Bisoprolol fumarate 1.25 mg oral tablet	900000000000448009
3185900061	20250701	1	900000000000207008	318590006	en	900000000000003001	Product containing precisely bisoprolol fumarate 5 milligram/1 each conventional release oral tablet (clinical drug)	900000000000448009
3185900062	20250701	1	900000000000207008	318590006	en	900000000000013009	Bisoprolol fumarate 5 mg oral tablet	900000000000448009
7748800061	20250701	1	900000000000207008	774880006	en	900000000000003001	Product containing only bisoprolol (medicinal product)	900000000000448009
7748800062	20250701	1	900000000000207008	774880006	en	900000000000013009	Bisoprolol only product	900000000000448009
1274890001	20250701	1	900000000000207008	127489000	en	900000000000003001	Has active ingredient (attribute)	900000000000448009
1274890002	20250701	1	900000000000207008	127489000	en	900000000000013009	Has active ingredient	900000000000448009
427520011	20250701	1	900000000000207008	42752001	en	900000000000003001	Due to (attribute)	900000000000448009
427520012	20250701	1	900000000000207008	42752001	en	900000000000013009	Due to	900000000000448009
4263730051	20250701	1	900000000000207008	426373005	en	900000000000003001	Relapsing remitting multiple sclerosis (disorder)	900000000000448009
4263730052	20250701	1	900000000000207008	426373005	en	900000000000013009	Relapsing remitting multiple sclerosis	900000000000448009
4255000021	20250701	1	900000000000207008	425500002	en	900000000000003001	Secondary progressive multiple sclerosis (disorder)	900000000000448009
4255000022	20250701	1	900000000000207008	425500002	en	900000000000013009	Secondary progressive multiple sclerosis	900000000000448009
1400041	20250701	1	900000000000207008	140004	en	900000000000003001	Chronic pharyngitis (disorder)	900000000000448009
1400042	20250701	1	900000000000207008	140004	en	900000000000013009	Chronic pharyngitis	900000000000448009
244430031	20250701	1	900000000000207008	24443003	en	900000000000003001	Total thyroidectomy (procedure)	900000000000448009
244430032	20250701	1	900000000000207008	24443003	en	900000000000013009	Total thyroidectomy	900000000000448009
263900031	20250701	1	900000000000207008	26390003	en	900000000000003001	Total colectomy (procedure)	900000000000448009
263900032	20250701	1	900000000000207008	26390003	en	900000000000013009	Total colectomy	900000000000448009
185900091	20250701	1	900000000000207008	18590009	en	900000000000003001	Cardiac pacing (procedure)	900000000000448009
185900092	20250701	1	900000000000207008	18590009	en	900000000000013009	Cardiac pacing	900000000000448009
000010001	20250701	1	900000000000207008	000001000	en	900000000000003001	~Optic neuritis due to multiple sclerosis (disorder)~	900000000000448009
000010002	20250701	1	900000000000207008	000001000	en	900000000000013009	~Optic neuritis due to multiple sclerosis~	900000000000448009
000020001	20250701	1	900000000000207008	000002000	en	900000000000003001	~Bisoprolol (substance)~	900000000000448009
000020002	20250701	1	900000000000207008	000002000	en	900000000000013009	~Bisoprolol~	900000000000448009
001000001	20250701	1	900000000000207008	000100000	en	900000000000003001	~Clinical finding (finding)~	900000000000448009
001000002	20250701	1	900000000000207008	000100000	en	900000000000013009	~Clinical finding~	900000000000448009
002000001	20250701	1	900000000000207008	000200000	en	900000000000003001	~Product (product)~	900000000000448009
002000002	20250701	1	900000000000207008	000200000	en	900000000000013009	~Product~	900000000000448009
003000001	20250701	1	900000000000207008	000300000	en	900000000000003001	~Substance (substance)~	900000000000448009
003000002	20250701	1	900000000000207008	000300000	en	900000000000013009	~Substance~	900000000000448009
