YEAR_MONTH,BNF_CHAPTER,BNF_CHAPTER_CODE,BNF_SECTION,BNF_SECTION_CODE,BNF_PARAGRAPH,BNF_PARAGRAPH_CODE,BNF_SUBPARAGRAPH,BNF_SUBPARAGRAPH_CODE,BNF_CHEMICAL_SUBSTANCE,BNF_CHEMICAL_SUBSTANCE_CODE,BNF_PRODUCT,BNF_PRODUCT_CODE,BNF_PRESENTATION,BNF_PRESENTATION_CODE
2025-03,Gastro-Intestinal System,01,Dyspepsia and gastro-oesophageal reflux disease,0101,Antacids and simeticone,010101,Antacids and simeticone,0101010,Other antacid and simeticone preparations,010101000,Proprietary compound preparation BNF 0101010,010101000BB,Indigestion mixture,010101000BBAJA0
2025-03,Gastro-Intestinal System,01,Dyspepsia and gastro-oesophageal reflux disease,0101,Antacids and simeticone,010101,Antacids and simeticone,0101010,Alexitol sodium,0101010A0,Alexitol sodium,0101010A0AA,Alexitol sodium 360mg tablets,0101010A0AAAAAA
2025-03,Gastro-Intestinal System,01,Dyspepsia and gastro-oesophageal reflux disease,0101,Antacids and simeticone,010101,Antacids and simeticone,0101010,Alexitol sodium,0101010A0,Actal,0101010A0BB,Actal 360mg tablets,0101010A0BBAAAA
2025-03,Gastro-Intestinal System,01,Dyspepsia and gastro-oesophageal reflux disease,0101,Antacids and simeticone,010101,Antacids and simeticone,0101010,Aluminium hydroxide,0101010C0,Aluminium hydroxide,0101010C0AA,Aluminium hydroxide 475mg capsules,0101010C0AAAAAA
2025-03,Gastro-Intestinal System,01,Dyspepsia and gastro-oesophageal reflux disease,0101,Antacids and simeticone,010101,Antacids and simeticone,0101010,Aluminium hydroxide,0101010C0,Aluminium hydroxide,0101010C0AA,Aluminium hydroxide oral suspension sugar free,0101010C0AAACAC
2025-03,Gastro-Intestinal System,01,Dyspepsia and gastro-oesophageal reflux disease,0101,Antacids and simeticone,010101,Antacids and simeticone,0101010,Aluminium hydroxide,0101010C0,Aluminium hydroxide,0101010C0AA,Aluminium hydroxide 500mg chewable tablets,0101010C0AAAHAH
2025-03,Gastro-Intestinal System,01,Dyspepsia and gastro-oesophageal reflux disease,0101,Antacids and simeticone,010101,Antacids and simeticone,0101010,Aluminium hydroxide,0101010C0,Aluminium hydroxide,0101010C0AA,Aluminium hydroxide 475mg/5ml oral suspension,0101010C0AAAMAM
2025-03,Gastro-Intestinal System,01,Dyspepsia and gastro-oesophageal reflux disease,0101,Antacids and simeticone,010101,Antacids and simeticone,0101010,Aluminium hydroxide,0101010C0,Alu-Cap,0101010C0BB,Alu-Cap 475mg capsules,0101010C0BBAAAA
2025-03,Gastro-Intestinal System,01,Dyspepsia and gastro-oesophageal reflux disease,0101,Antacids and simeticone,010101,Antacids and simeticone,0101010,Aluminium hydroxide,0101010C0,Aludrox (Gel/Liquid),0101010C0BD,Aludrox Liquid,0101010C0BDABAC
2025-03,Gastro-Intestinal System,01,Dyspepsia and gastro-oesophageal reflux disease,0101,Antacids and simeticone,010101,Antacids and simeticone,0101010,Hydrotalcite,0101010E0,Hydrotalcite,0101010E0AA,Hydrotalcite 500mg/5ml oral suspension,0101010E0AAAAAA
2025-03,Gastro-Intestinal System,01,Dyspepsia and gastro-oesophageal reflux disease,0101,Antacids and simeticone,010101,Antacids and simeticone,0101010,Hydrotalcite,0101010E0,Hydrotalcite,0101010E0AA,Hydrotalcite 500mg/5ml oral suspension sugar free,0101010E0AAAEAE
2025-03,Gastro-Intestinal System,01,Dyspepsia and gastro-oesophageal reflux disease,0101,Antacids and simeticone,010101,Antacids and simeticone,0101010,Magnesium carbonate,0101010F0,Magnesium carbonate (Antacid),0101010F0AA,Magnesium carbonate mixture aromatic,0101010F0AAABAB
